FDR	Pval	#Go
0.0	1.9241407824380429E-13	2
0.0	9.620703912190214E-13	2
0.0	4.8103519560951065E-12	3
0.0	2.405175978047553E-11	6
0.0	1.2025879890237766E-10	10
0.0	6.012939945118883E-10	13
0.0	3.0064699725594415E-9	18
0.0	1.5032349862797207E-8	26
0.0	7.516174931398603E-8	38
0.0	3.758087465699302E-7	50
0.0	1.8790437328496509E-6	75
0.0	9.395218664248254E-6	95
0.0	4.697609332124127E-5	121
0.0	2.3488046660620634E-4	178
0.00911854103343465	0.0011744023330310317	329
0.03460207612456748	0.005872011665155158	578
0.10943396226415095	0.02936005832577579	795
0.2622133599202393	0.1	1003
0.26321036889332006	0.1005	1003
0.26321036889332006	0.101	1003
0.26321036889332006	0.1015	1003
0.2649402390438247	0.10200000000000001	1004
0.27794263105835804	0.10250000000000001	1011
0.27794263105835804	0.10300000000000001	1011
0.27794263105835804	0.10350000000000001	1011
0.2789317507418398	0.10400000000000001	1011
0.2799208704253215	0.10450000000000001	1011
0.2818991097922849	0.10500000000000001	1011
0.2828882294757666	0.10550000000000001	1011
0.3010648596321394	0.10600000000000001	1033
0.3010648596321394	0.10650000000000001	1033
0.3020329138431752	0.10700000000000001	1033
0.30464216634429403	0.10750000000000001	1033
0.30464216634429403	0.10800000000000001	1034
0.3065764023210832	0.10850000000000001	1034
0.30754352030947774	0.10900000000000001	1034
0.30947775628626695	0.10950000000000001	1034
0.3104448742746615	0.11000000000000001	1034
0.3104448742746615	0.11050000000000001	1034
0.3104448742746615	0.11100000000000002	1034
0.3104448742746615	0.11150000000000002	1034
0.3114119922630561	0.11200000000000002	1034
0.31237911025145065	0.11250000000000002	1034
0.31237911025145065	0.11300000000000002	1034
0.3130434782608696	0.11350000000000002	1035
0.3130434782608696	0.11400000000000002	1035
0.3130434782608696	0.11450000000000002	1035
0.3137065637065637	0.11500000000000002	1035
0.3137065637065637	0.11550000000000002	1036
0.31436837029893927	0.11600000000000002	1036
0.31436837029893927	0.11650000000000002	1037
0.3153326904532305	0.11700000000000002	1037
0.3159922928709056	0.11750000000000002	1038
0.3159922928709056	0.11800000000000002	1038
0.3159922928709056	0.11850000000000002	1038
0.31695568400770713	0.11900000000000002	1038
0.31695568400770713	0.11950000000000002	1038
0.31957773512476007	0.12000000000000002	1042
0.31957773512476007	0.12050000000000002	1042
0.31957773512476007	0.12100000000000002	1042
0.32053742802303264	0.12150000000000002	1042
0.32053742802303264	0.12200000000000003	1042
0.32149712092130517	0.12250000000000003	1042
0.32406519654841803	0.12300000000000003	1042
0.32406519654841803	0.12350000000000003	1043
0.3259827420901246	0.12400000000000003	1043
0.3260038240917782	0.12450000000000003	1044
0.3260038240917782	0.12500000000000003	1045
0.3260038240917782	0.12550000000000003	1046
0.32695984703632885	0.12600000000000003	1046
0.3279158699808795	0.12650000000000003	1046
0.32951289398280803	0.12700000000000003	1047
0.33046800382043934	0.12750000000000003	1047
0.33364750235626767	0.12800000000000003	1061
0.3355325164938737	0.12850000000000003	1061
0.3355325164938737	0.12900000000000003	1061
0.3364750235626767	0.12950000000000003	1061
0.3364750235626767	0.13000000000000003	1061
0.33866415804327377	0.13050000000000003	1062
0.33866415804327377	0.13100000000000003	1063
0.33866415804327377	0.13150000000000003	1063
0.33866415804327377	0.13200000000000003	1063
0.3396048918156162	0.13250000000000003	1063
0.3405456255879586	0.13300000000000003	1063
0.34116541353383456	0.13350000000000004	1064
0.34210526315789475	0.13400000000000004	1064
0.3430451127819549	0.13450000000000004	1064
0.34395501405810686	0.13500000000000004	1066
0.34395501405810686	0.13550000000000004	1066
0.34395501405810686	0.13600000000000004	1066
0.34395501405810686	0.13650000000000004	1067
0.34395501405810686	0.13700000000000004	1067
0.34395501405810686	0.13750000000000004	1067
0.34395501405810686	0.13800000000000004	1067
0.34395501405810686	0.13850000000000004	1067
0.3451492537313433	0.13900000000000004	1072
0.3451492537313433	0.13950000000000004	1072
0.3451492537313433	0.14000000000000004	1072
