GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0002699	4	44.0	0.9467394451314279	17.0	0.02723999000694707
GO:0002700	4	44.0	0.9467394451314279	27.0	0.26999894656703405
GO:0002702	3	22.0	0.902713763291213	14.0	0.3448186521234654
GO:0002703	4	44.0	0.9467394451314279	11.0	0.0033605461663601855
GO:0002705	3	22.0	0.902713763291213	13.0	0.2703766711819732
GO:0002757	4	40.0	0.862169673729559	34.0	0.6195005239237004
GO:0002758	3	11.0	0.14996743553214986	16.0	0.510033481788937
GO:0002761	3	16.0	0.510033481788937	12.0	0.2049491548637462
GO:0002764	4	40.0	0.862169673729559	31.0	0.46461254187805967
GO:0002790	4	14.0	0.010269958523749992	33.0	0.5687425224365713
GO:0003006	4	34.0	0.6195005239237004	36.0	0.7143567795174552
GO:0003007	3	11.0	0.14996743553214986	15.0	0.42580108506480596
GO:0003008	22	1077.0	0.06692755206890522	1217.0	0.4578272386492076
