nProt	mean	stdev
117	37749.96016000014	651.2580453651032
118	38413.269430000066	653.9819937715989
119	39084.86917	655.64098983629
120	39761.395169999996	658.983942892898
121	40443.91168999993	662.9564903606753
122	41137.47105000003	668.1985799011384
123	41829.74565000009	670.5714956483596
124	42529.68799999993	672.2389592667175
125	43237.064279999926	677.6725230877237
126	43952.93446000005	679.6536110435292
127	44670.99575999998	682.0548043244183
128	45396.24379000006	687.7802442905986
129	46130.27050000009	690.1619087502215
130	46860.551020000006	693.4905413608461
131	47605.92282999996	698.6639983531364
132	48357.8892	699.8798135275518
133	49114.39801999994	704.3847496220219
134	49871.941450000035	702.6755091661427
135	50638.164250000176	709.4175050644991
136	51412.6474600001	710.3581257334553
137	52187.24537000005	713.732088758494
138	52981.03819999984	714.4743670564816
139	53772.27830000003	718.5559386360331
140	54572.15850999995	720.1901425905384
141	55368.71665999997	722.9574258546932
142	56175.722470000095	725.9329171535747
143	56995.746230000084	725.7739468531415
144	57810.83194000013	729.5110975686644
145	58641.74308000004	730.3254658384249
146	59473.95064999996	728.1617844920029
147	60312.03116000015	731.9761401501111
148	61153.51070000018	729.741504236609
149	62003.42726999991	730.1552614001677
150	62857.75957999991	734.5673768404246
151	63716.25618000008	733.6416603027718
152	64583.43736000003	736.2803222117444
153	65457.59729999986	731.6527577975156
154	66331.00092999995	730.2387024590912
155	67216.53220000007	729.6761053941399
156	68097.78497000008	728.3421303289406
157	68991.46800000015	728.1632483969513
158	69891.15175000003	724.0740132900354
159	70789.65945999992	720.088432480697
160	71699.73624999989	718.9289224297061
161	72613.61426000012	716.382759748344
162	73529.53283999996	710.2544446052665
163	74455.57810999981	705.7834087585424
164	75381.70154000001	698.246036395216
165	76314.73631000033	693.7060535252554
166	77252.93125999994	688.4177546626834
167	78191.35750999981	679.369539511892
168	79136.36853000007	670.2531756699401
169	80088.45800999997	665.436975841319
170	81044.11410000027	653.8452115456618
171	82010.95250000001	641.3773392346751
172	82969.19475000013	633.5547719198692
173	83944.82281999999	619.36089525191
174	84915.49766	602.3087069057904
175	85893.16261999994	590.9332654325153
176	86875.81644000001	575.7384228325622
177	87867.06263999995	555.0538483392675
178	88856.30211999993	535.3474136703243
179	89854.34352999997	514.0124011316644
180	90857.7422000001	493.1161703687678
181	91865.99498999995	470.4038809840972
182	92883.29941000023	447.3478816353688
183	93907.47112000005	425.4705328996894
184	94936.86911000001	401.5507334793549
185	95974.79825000018	380.70547688066904
186	97018.23795999982	358.59119720796053
187	98067.49146999983	338.49982408745643
188	99118.59573999996	320.4973267187298
189	100173.54874000003	300.032861740864
190	101231.4903199999	282.022752852137
191	102291.3803999999	262.3186995923851
192	103360.49339999977	235.92988890015607
193	104457.12328000004	179.81948254302594
194	105601.49854	77.24192655461411
